加载数据中...
testID: 4, pe: 400, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 500, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 600, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 700, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 800, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 900, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 1000, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 1100, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 1200, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 1300, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 1400, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 1500, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 1600, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 1700, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 1800, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 1900, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 2000, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 2100, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 2200, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 2300, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 2400, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 2500, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 2600, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 2700, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 2800, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 2900, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 3000, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 3100, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 3200, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 3300, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 3400, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 3500, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 3600, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 3700, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 3800, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 3900, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 4000, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 4100, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 4200, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 4300, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 4400, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 4500, chip: 0, ce: 1, die: 0, block: 2 加载完成
testID: 4, pe: 4600, chip: 0, ce: 1, die: 0, block: 2 加载完成
